	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1142_at	319.41	A	0.07	174.56	A	0.07	370.44	A	0.14	370.84	A	0.12	678.02	A	0.06	426.72	A	0.14	500.39	A	0.1	528.38	A	0.15
1143_s_at	293.11	A	0.23	461.34	A	0.14	467.38	A	0.07	501.23	A	0.16	409.4	A	0.34	566.96	A	0.14	125.02	A	0.75	434.81	A	0.38
1144_at	42.89	A	0.81	120.65	A	0.54	45.86	A	0.78	132.9	A	0.46	51.9	A	0.78	125.47	A	0.54	68.06	A	0.68	46.05	A	0.95
1145_g_at	381.61	A	0.18	508.08	M	0.05	362.8	A	0.25	353.09	A	0.1	553.79	A	0.16	349.48	A	0.22	510.79	A	0.22	558.05	A	0.23
1146_at	41.4	A	0.92	109.05	A	0.56	50.56	A	0.77	45.13	A	0.82	421.09	A	0.28	542.07	A	0.22	673.83	A	0.23	665.47	A	0.15
1147_at	915.94	P	0	816.99	P	0	2056.34	P	0	2525.09	P	0	343.65	A	0.06	299.87	P	0.01	232.14	P	0.02	177.86	A	0.1
1148_s_at	174.37	A	0.1	225.03	P	0.01	510.07	P	0.01	553.08	P	0.01	419.84	A	0.06	422.23	M	0.05	84.24	A	0.52	33.12	A	0.66
1149_at	35.7	A	0.99	18.43	A	0.99	24.07	A	0.99	36.99	A	0.92	61.57	A	0.94	26.57	A	0.88	31.7	A	0.96	54.5	A	0.91
115_at	48.31	A	0.86	28.13	A	0.84	623.86	P	0.01	644.13	P	0.01	568.86	A	0.1	583.49	P	0.02	72	A	0.78	257.72	A	0.52
1150_at	283.18	P	0.01	190.17	P	0.01	331.73	P	0.01	210.52	P	0.01	203.82	A	0.1	69.21	A	0.13	142.64	A	0.22	23.74	A	0.66
1151_at	1220.53	P	0	1033.2	P	0	5966.47	P	0	6049.48	P	0	1451.87	P	0.01	1666.19	P	0	980.66	P	0.02	910.22	P	0.04
1152_i_at	449.49	A	0.17	306.97	A	0.12	1000.23	M	0.06	930.54	M	0.06	910.54	M	0.06	1216.79	M	0.06	985.43	M	0.06	1748.34	M	0.06
1153_f_at	155.95	A	0.68	138.11	A	0.7	177.9	A	0.7	205.96	A	0.62	207.49	A	0.92	197.2	A	0.88	333.07	A	0.82	281.13	A	0.87
1154_at	591.12	P	0.02	430.01	P	0.04	534.35	P	0.02	797.2	P	0.04	673.34	P	0.02	690.82	P	0.01	602.21	M	0.05	754.93	A	0.07
1155_at	368.4	P	0.02	267.8	A	0.07	378.95	A	0.09	335.02	A	0.07	549.35	M	0.05	288.36	A	0.08	370.97	P	0.03	470.22	P	0.03
1156_at	44.71	A	0.68	73.02	A	0.44	155.07	A	0.5	59.58	A	0.77	342.19	A	0.36	158.14	A	0.48	131.07	A	0.54	188	A	0.52
1157_s_at	207.54	A	0.38	144.91	A	0.23	100.73	A	0.52	221.14	A	0.27	38.03	A	0.9	120.18	A	0.46	40.09	A	0.75	33.99	A	0.81
1158_s_at	10261.82	P	0	9844.16	P	0	4762.68	P	0	5762.94	P	0	892.46	A	0.09	750.48	A	0.11	170.18	A	0.66	248.36	A	0.56
1159_at	7.52	A	0.98	15.16	A	0.68	6.02	A	0.95	27.22	A	0.66	4.89	A	0.96	7.66	A	0.73	3.91	A	0.99	5.08	A	0.92
116_at	23.75	A	0.77	97.34	A	0.16	148.83	A	0.13	141.59	A	0.08	157.77	A	0.15	115.35	A	0.22	213.1	A	0.23	180.03	A	0.44
1160_at	3153.25	P	0	3455.61	P	0	1116.41	P	0	1183.71	P	0.01	2247.21	P	0	2223.52	P	0	4891.98	P	0	3907.24	P	0
1161_at	13853.05	P	0	13868.71	P	0	8991.66	P	0	10217.51	P	0	7954.88	P	0	6662.46	P	0	10682.35	P	0	6215.79	P	0
1162_g_at	420.49	A	0.16	498.52	P	0.03	254.74	A	0.3	269.45	A	0.3	357.62	A	0.3	300.43	A	0.36	108.22	A	0.72	407.84	A	0.42
1163_at	174.41	A	0.3	180.68	A	0.07	285.28	A	0.14	378.44	A	0.07	84.1	A	0.5	165.95	A	0.27	123.77	A	0.52	47.89	A	0.52
1164_at	139.41	A	0.13	138.51	P	0.02	404.56	P	0	433.99	P	0	185.29	M	0.05	103.8	A	0.14	40.72	A	0.56	84.53	A	0.52
1165_at	47.4	A	0.4	49.21	A	0.12	33.6	A	0.42	34.64	A	0.58	44.92	A	0.56	35.5	A	0.46	21.26	A	0.46	34.64	A	0.58
1166_at	2115.36	P	0	2118.85	P	0	1677.35	P	0	1493.08	P	0	1935.37	P	0	3123.35	P	0	2124.86	P	0	2431.49	P	0
1167_s_at	641.2	A	0.38	877.41	A	0.38	1132.97	A	0.22	650.13	A	0.42	1524.75	A	0.13	906.39	A	0.27	349.71	A	0.7	1528.01	A	0.36
1168_at	120.34	A	0.15	79.63	A	0.13	92.41	A	0.22	64.01	A	0.3	139.15	A	0.15	68.98	A	0.06	29.4	A	0.58	35.43	A	0.3
1169_at	561.2	P	0.01	333.44	A	0.06	199.01	A	0.1	260.75	P	0.02	215.69	A	0.16	207.92	P	0.01	427.96	A	0.07	1078.47	P	0.01
117_at	323.63	M	0.04	161.32	A	0.16	365.94	P	0.02	188.09	P	0.01	2776.59	P	0	2989.3	P	0	263.43	A	0.06	496.61	P	0.03
1170_at	155.27	A	0.16	90.78	A	0.18	279.66	A	0.18	145.17	A	0.1	172.67	A	0.1	243.57	A	0.07	182.45	A	0.16	393.41	A	0.12
1171_s_at	84.62	A	0.64	165.63	A	0.64	417.07	A	0.3	320.63	A	0.2	59.21	A	0.86	48.21	A	0.84	56.33	A	0.81	54.18	A	0.93
1172_at	34.04	A	0.99	35.02	A	0.88	72.96	A	0.87	55.3	A	0.93	138.6	A	0.75	103.28	A	0.81	49.67	A	0.98	92.13	A	0.84
1173_g_at	2139.02	P	0	1428.63	P	0	1548.85	P	0	1612.52	P	0	7140.06	P	0	6506.24	P	0	4177.78	P	0	3513.21	P	0
1174_at	16.06	A	0.93	7.05	A	0.98	20.8	A	0.85	8	A	0.88	23.97	A	0.93	16.58	A	0.89	21.22	A	0.9	19.04	A	0.94
1175_s_at	16.03	A	0.7	41.82	A	0.42	8.79	A	0.68	8.69	A	0.6	311.46	P	0.03	133.82	P	0.02	18405.08	P	0	17084.91	P	0
1176_at	161.64	A	0.13	147.4	P	0.01	253.45	M	0.04	202.11	P	0.04	104.81	A	0.34	109.1	A	0.15	59.01	A	0.5	178.94	A	0.32
1177_at	75.89	A	0.54	90.3	A	0.23	110.54	A	0.52	69.85	A	0.5	248.12	A	0.15	28.41	A	0.73	28.92	A	0.81	103.05	A	0.52
1178_at	49.11	A	0.52	18.95	A	0.46	255.07	A	0.07	126.7	A	0.14	43.44	A	0.73	124.79	A	0.07	50.69	A	0.34	158.44	A	0.38
1179_at	10337.42	P	0	8267.61	P	0	8329.29	P	0	9025	P	0	2626.21	P	0	2482.1	P	0	3615.35	P	0	1969.69	P	0
118_at	1274.79	P	0.01	1360.33	P	0.01	28.68	A	0.89	31.84	A	0.89	92.07	A	0.75	25	A	0.95	41.4	A	0.97	41.47	A	0.95
1180_g_at	16157.59	P	0	11242.64	P	0	10914.02	P	0	12219.57	P	0	6774.21	P	0	6518.66	P	0	8091.96	P	0	7664.74	P	0
1181_at	131.05	A	0.72	115.19	A	0.66	45.69	A	0.91	54.92	A	0.84	69.79	A	0.95	103.12	A	0.73	79.89	A	0.93	87.05	A	0.88
1182_at	205.31	P	0.01	120.39	P	0	235.47	P	0.01	253.03	P	0	116.45	A	0.19	104.37	A	0.25	115.9	A	0.25	138.77	A	0.27
1183_at	35.77	A	0.8	86.51	A	0.3	32.76	A	0.7	23.96	A	0.58	94.65	A	0.56	93.26	A	0.36	25.19	A	0.7	96.69	A	0.4
1184_at	804.33	A	0.12	803.66	A	0.06	615.91	A	0.12	689.61	A	0.06	1316.12	M	0.05	1477.9	P	0.02	2228.27	P	0.04	1623.46	A	0.07
1185_at	314.1	A	0.48	225.81	A	0.4	432.44	A	0.36	417.75	A	0.36	661.32	A	0.42	699.25	A	0.46	176.94	A	0.6	647.72	A	0.48
1186_at	112.89	A	0.27	91.43	M	0.05	195.77	A	0.07	248.12	P	0.01	25.59	A	0.84	5.23	A	0.9	20.46	A	0.78	7.05	A	0.96
1187_at	77.61	A	0.62	236.81	A	0.48	171.46	A	0.58	74	A	0.66	112.63	A	0.58	292.62	A	0.38	215.85	A	0.46	227.97	A	0.48
1188_g_at	36.08	A	0.56	99.79	A	0.19	119.22	A	0.54	50.37	A	0.62	33.31	A	0.7	44.87	A	0.4	39.27	A	0.54	71.82	A	0.66
1189_at	555.14	P	0.01	402.6	P	0.01	953.58	P	0.01	1030.51	P	0.01	522.48	A	0.09	443.06	A	0.11	376.58	A	0.16	673.69	A	0.07
119_at	102.47	A	0.73	228.52	A	0.42	296.55	A	0.54	358.68	A	0.42	468.75	A	0.5	376.12	A	0.46	701.5	A	0.32	507.9	A	0.42
1190_at	18.35	A	0.8	56.7	A	0.48	511.64	P	0.01	505.56	P	0	12.23	A	1	10.32	A	0.99	9.91	A	0.99	7.09	A	0.99
1191_s_at	1237.12	P	0	921.48	P	0	1084.04	P	0	1617.23	P	0	985.94	P	0.01	1245.71	P	0	835.54	P	0.01	797.38	P	0.01
1192_at	1281.51	P	0	954.78	P	0	1031.05	P	0	1088.62	P	0	323.82	P	0.01	405.31	P	0	309.82	P	0.01	455.92	P	0
1193_at	71.36	A	0.92	38.85	A	0.91	155.72	A	0.5	140.77	A	0.62	189.87	A	0.77	80.5	A	0.66	100.43	A	0.82	224.42	A	0.6
1194_g_at	16.39	A	0.7	18.1	A	0.52	186.09	A	0.16	204.33	M	0.05	26.52	A	0.72	29.81	A	0.62	107.24	A	0.7	48.73	A	0.66
1195_s_at	263.11	P	0.01	190.01	P	0	323.18	P	0.01	403.21	P	0	142.05	A	0.11	141.61	A	0.16	142.27	A	0.22	79.8	A	0.23
1196_at	65.57	A	0.56	129.43	A	0.4	281.7	A	0.3	243.75	A	0.32	594.38	A	0.08	476.73	A	0.16	364.7	A	0.2	132.97	A	0.48
1197_at	107.67	A	0.46	125.14	A	0.14	83.59	A	0.6	176.72	A	0.32	323.37	A	0.18	478.06	M	0.05	151.65	A	0.56	297.43	A	0.32
1198_at	151.24	P	0.02	51.09	P	0.01	113.85	P	0.01	114.56	P	0.01	7.63	A	0.58	68.83	P	0	61.12	A	0.16	34.21	A	0.42
1199_at	1433.16	P	0	1115.32	P	0	2322.09	P	0	2676.17	P	0	4875.93	P	0	5431.17	P	0	3175.3	P	0	3115.16	P	0
120_at	117.23	A	0.13	63.82	A	0.09	198.87	P	0.02	124.66	A	0.11	391.34	P	0	369.7	P	0	323.8	P	0	327.22	P	0
1200_at	80.71	A	0.82	35.17	A	0.7	54.89	A	0.81	62.47	A	0.7	109.58	A	0.78	92.04	A	0.75	72.2	A	0.73	114.26	A	0.66
1201_at	697.05	P	0	590.11	P	0	409.23	P	0.01	425.98	P	0	182.58	A	0.22	134.8	A	0.16	202.85	A	0.12	190.92	A	0.23
1202_g_at	785.82	P	0	712.92	P	0	678.09	P	0.01	948.27	P	0	397.43	A	0.58	82.41	A	0.7	169.15	A	0.56	277.08	A	0.56
1203_at	18.93	A	0.85	25.26	A	0.73	34.81	A	0.56	16.37	A	0.82	14.76	A	0.78	19.51	A	0.82	24.4	A	0.77	42.1	A	0.8
1204_at	149.34	A	0.85	42.65	A	0.82	23.01	A	0.98	41.6	A	0.85	44.67	A	0.98	30.68	A	0.98	63.52	A	0.91	53.77	A	0.93
1205_at	13.43	A	0.9	30.85	A	0.54	32.22	A	0.81	9.13	A	0.73	19.45	A	0.87	15.31	A	0.92	138.65	A	0.32	18.52	A	0.7
1206_at	1193	P	0	1281.94	P	0	229.28	A	0.44	386.69	A	0.15	43.07	A	0.75	58.55	A	0.64	73.76	A	0.58	72.52	A	0.64
1207_at	102.72	A	0.36	112.59	A	0.18	214.92	A	0.25	172.25	A	0.15	139.71	A	0.27	190.06	A	0.25	39.19	A	0.7	63.6	A	0.6
1208_at	56.97	A	0.93	25.32	A	0.91	23.77	A	0.96	44.72	A	0.96	73.28	A	0.93	45.77	A	0.91	45.23	A	0.93	74.88	A	0.86
1209_at	18.36	A	0.88	36.03	A	0.44	135.24	A	0.62	97.2	A	0.48	24.15	A	0.93	98.37	A	0.44	20.19	A	0.97	36.75	A	0.9
121_at	1974.89	P	0.02	1856.21	P	0.01	2015.88	P	0.01	1401.25	P	0.03	2423.81	P	0.02	1539.74	P	0.01	2991.21	P	0.03	2656.22	P	0.02
1210_s_at	60.85	A	0.96	96.74	A	0.81	282.11	A	0.68	205.27	A	0.6	70.72	A	0.98	65.95	A	0.94	61.09	A	0.98	89.78	A	0.95
1211_s_at	386.32	P	0.01	348.74	P	0	332.61	A	0.16	338.07	A	0.18	638.93	P	0.02	584.54	P	0	629.29	A	0.07	424.12	A	0.07
1212_at	76.31	A	0.58	326.1	A	0.1	124.15	A	0.48	90.31	A	0.48	246.27	A	0.28	566.02	A	0.1	3447.38	P	0	2452.96	P	0
1213_at	472.12	P	0	344.55	P	0	760.74	P	0	806.2	P	0	208.7	A	0.12	149.17	A	0.11	90.97	A	0.42	82.71	A	0.44
1214_s_at	13.38	A	0.99	8.02	A	0.95	13.32	A	0.93	9.43	A	0.9	16.9	A	0.96	20.7	A	0.93	12.81	A	0.98	19.67	A	0.98
1215_at	31.17	A	0.89	14.88	A	0.96	20	A	0.93	17.28	A	0.96	55.21	A	0.86	38.81	A	0.85	80.76	A	0.5	90.75	A	0.66
1216_at	224.75	A	0.19	242.35	P	0.04	220.68	A	0.08	251.06	M	0.04	113.66	A	0.68	19.72	A	0.75	32.19	A	0.75	26.66	A	0.8
1217_g_at	867.72	P	0	1096.01	P	0	561.37	P	0	656.12	P	0	266.44	A	0.07	197.86	M	0.04	183.22	A	0.27	352.52	A	0.07
1218_at	770.53	A	0.18	835.74	A	0.11	325.77	A	0.5	100.77	A	0.56	1047	A	0.22	929.15	A	0.23	1905.19	A	0.07	2072.32	A	0.13
1219_at	45.39	A	0.97	16.75	A	0.93	27.87	A	0.95	23.95	A	0.96	55.99	A	0.95	28.55	A	0.8	43.47	A	0.99	64.83	A	0.91
122_at	84.79	A	0.82	103.21	A	0.5	56.44	A	0.64	84.46	A	0.48	55.66	A	0.86	61.2	A	0.68	94.1	A	0.73	37.53	A	0.78
1220_g_at	185.57	A	0.3	255.9	A	0.1	301.55	A	0.15	265.63	A	0.18	405.78	A	0.11	425.09	A	0.09	321.88	A	0.18	484.65	A	0.18
1221_at	276.31	A	0.19	318.54	P	0.01	448.19	P	0.02	418.76	M	0.05	401.64	A	0.11	479.55	P	0.02	307.9	A	0.22	528.13	A	0.16
1222_at	140.41	A	0.18	101.92	P	0.01	337.72	A	0.07	207.72	A	0.06	137	A	0.32	84.13	A	0.36	99.97	A	0.28	32.7	A	0.56
1223_at	337.32	A	0.23	447.25	P	0.02	65.87	A	0.5	49.3	A	0.62	349.62	A	0.46	260.08	A	0.27	152.13	A	0.38	466.37	A	0.2
1224_at	743.05	P	0.01	1391.31	P	0	664.24	P	0	655.33	P	0	355.13	P	0.04	553.61	P	0.01	115.68	A	0.62	258.35	A	0.5
1225_g_at	1814.32	P	0.01	1909.04	P	0	1189.07	P	0.02	1101.1	P	0.01	851.92	A	0.09	1223.58	P	0.02	994.59	A	0.23	717.05	A	0.18
1226_at	166.55	A	0.08	118.43	P	0.01	400.43	P	0	415.89	P	0	169.7	P	0.04	211.28	P	0	24.6	A	0.73	38.13	A	0.54
1227_g_at	20.72	A	0.99	15.81	A	0.92	89.28	A	0.54	28.78	A	0.81	29.95	A	0.95	19.58	A	0.93	24.08	A	0.98	21.71	A	0.99
1228_s_at	355.2	A	0.11	374.29	M	0.05	576.42	P	0.04	588.89	A	0.07	905.27	P	0.01	1199.02	P	0	1405.58	P	0.01	1212.83	P	0
1229_at	73.84	A	0.42	66.57	A	0.3	54.95	A	0.46	85.7	A	0.27	135.68	A	0.56	85.54	A	0.77	29.03	A	0.73	22.08	A	0.72
123_at	68.16	A	0.38	77.94	A	0.32	111.25	A	0.25	100.02	A	0.12	132.45	A	0.36	57.6	A	0.36	111.55	A	0.28	158.53	A	0.19
1230_g_at	159.31	A	0.19	243.73	P	0.04	251.63	P	0.04	150.65	A	0.1	159.9	A	0.23	245.05	A	0.07	146	A	0.42	294.17	P	0.04
1231_at	90.92	A	0.16	69.87	A	0.15	150.35	M	0.05	142.35	P	0.01	93.67	A	0.28	93.92	A	0.11	24.45	A	0.64	109.29	A	0.27
1232_s_at	109.21	A	0.11	79.93	P	0	98.46	A	0.12	94.93	M	0.05	15276.44	P	0	17257.21	P	0	1756.26	P	0	2113.76	P	0
1233_s_at	87.75	A	0.62	645.06	A	0.27	96.32	A	0.73	65.13	A	0.72	186.54	A	0.5	114.09	A	0.46	110.77	A	0.44	139.51	A	0.44
1234_at	62	A	0.44	136.06	A	0.07	419.63	P	0.02	479.9	P	0.02	109.53	A	0.38	67.43	A	0.34	174.22	A	0.28	306.76	A	0.18
1235_at	8136.32	P	0	8102.65	P	0	10152.11	P	0	9571.02	P	0	1458.21	P	0	1902.01	P	0	1070.09	P	0	1268.72	P	0.01
1236_s_at	44.27	A	0.87	71.76	A	0.62	367.34	A	0.3	248.25	A	0.2	57.51	A	0.87	41.78	A	0.82	43.03	A	0.82	54.07	A	0.85
1237_at	415.84	A	0.1	307.36	P	0.04	568.63	P	0.03	374.82	P	0.02	835.5	P	0.01	960.29	P	0	525.3	A	0.06	496.79	A	0.18
1238_at	598.32	P	0	624.54	P	0	672.9	P	0.01	657.3	P	0.01	71.47	A	0.73	243.6	A	0.4	47.1	A	0.8	49.81	A	0.78
1239_s_at	24.74	A	0.82	26.54	A	0.7	222	A	0.36	48.66	A	0.6	413.03	A	0.2	262.79	A	0.27	78.11	A	0.66	51.54	A	0.64
124_i_at	36.77	A	0.94	21.77	A	0.84	28.31	A	0.94	20.72	A	0.94	38.1	A	0.92	22.41	A	0.94	69.46	A	0.84	52.42	A	0.97
1240_at	53.2	A	0.32	170.09	A	0.07	343.07	P	0.04	231.16	A	0.06	490.68	A	0.14	542.77	A	0.1	247.53	A	0.25	408.26	A	0.22
1241_at	2310.4	P	0	2712.14	P	0	2036.29	P	0	2033.36	P	0	830.9	P	0	971.96	P	0	611.81	P	0	1012.6	P	0
1242_at	479.7	A	0.14	739.6	P	0.01	226.67	A	0.22	370.13	A	0.15	461.79	A	0.06	617.61	P	0.02	444.7	A	0.4	294	A	0.27
1243_at	300.7	A	0.09	254.31	A	0.13	351.09	A	0.08	384.91	A	0.15	353.26	A	0.08	326.44	M	0.05	445.98	A	0.09	409.26	A	0.13
1244_at	342.38	A	0.07	404.77	P	0.02	639.18	P	0.02	575.55	A	0.06	716.13	M	0.05	568.08	P	0.04	842.74	M	0.04	572.41	A	0.11
1245_i_at	147.23	A	0.15	78.46	M	0.04	335.84	P	0	299.71	P	0.01	174.75	A	0.12	188.93	M	0.06	45.24	A	0.62	176.04	P	0.01
1246_at	324.98	A	0.5	944.19	A	0.1	1800.4	M	0.05	1174.4	M	0.05	378.3	A	0.66	344.3	A	0.56	229.29	A	0.54	1032.46	A	0.44
1247_g_at	65.79	A	0.81	62.77	A	0.46	295.84	P	0.01	317.2	P	0.02	40.59	A	0.87	42.39	A	0.8	93.63	A	0.72	105.86	A	0.72
1248_at	496.12	P	0	557.38	P	0	594.2	P	0	610.96	P	0	764.39	P	0	782.9	P	0	639.25	P	0	609.74	P	0.01
1249_at	119.16	A	0.5	120.75	A	0.07	58.69	A	0.38	102.92	A	0.19	184.44	A	0.23	102.12	A	0.28	97.82	A	0.48	40	A	0.72
125_r_at	641.19	A	0.52	780.3	A	0.55	809.68	A	0.45	646.43	A	0.55	932.45	A	0.43	881.77	A	0.54	1111.53	A	0.57	994.52	A	0.45
1250_at	236.02	P	0.01	201.53	P	0.02	369.92	P	0.01	422.65	P	0.01	170.99	A	0.23	268.23	P	0.02	101.32	A	0.48	21.39	A	0.84
1251_g_at	2001.34	P	0	2455.16	P	0	857.95	A	0.06	1123.98	P	0.02	793.23	A	0.22	942.49	A	0.08	96.63	A	0.81	135.45	A	0.7
1252_at	2161.97	P	0	1651.37	P	0	2888.5	P	0	3293.81	P	0	324.77	M	0.05	405.78	M	0.04	418.82	M	0.04	201.51	A	0.4
1253_at	708.96	P	0	394.03	P	0	792.74	P	0	679.13	P	0	230.74	A	0.11	216.82	A	0.1	220.05	A	0.13	242.15	A	0.07
1254_at	639.92	A	0.06	435.36	A	0.16	786.53	A	0.12	474.69	A	0.18	1126.81	A	0.06	813.79	A	0.08	667.01	A	0.18	631.99	A	0.18
1255_g_at	189.44	A	0.2	140.29	A	0.09	285.34	A	0.14	233.14	A	0.1	126.64	A	0.42	158.32	A	0.5	109.72	A	0.44	206.99	A	0.36
1256_at	377.65	A	0.07	464.31	P	0.02	976.19	P	0	1183.56	P	0	168.23	A	0.62	21.23	A	0.86	18.66	A	0.85	35.52	A	0.7
1257_s_at	285.82	A	0.34	429.23	A	0.14	72.93	A	0.66	276.44	A	0.46	329.17	A	0.14	509.41	A	0.13	168.85	A	0.62	815.18	A	0.28
1258_s_at	403.53	P	0	285.21	P	0	561.66	P	0	559.2	P	0	234.83	P	0.03	302.18	P	0	357.38	P	0	364.4	P	0
1259_at	124.72	A	0.68	177.79	A	0.25	418.85	A	0.42	332.25	A	0.48	248.54	A	0.54	220	A	0.42	478.46	A	0.32	564.2	A	0.36
126_s_at	8.66	A	0.75	27.31	A	0.16	21.73	A	0.8	17.09	A	0.48	5.66	A	0.99	11.59	A	0.7	5.83	A	0.95	5.32	A	0.97
1260_s_at	19.56	A	1	4.46	A	1	18.23	A	1	12.53	A	0.99	258.96	A	0.32	378.15	M	0.05	4652.81	P	0	3717.3	P	0
1261_i_at	71.9	A	0.71	40.47	A	0.76	44.36	A	0.68	123.76	A	0.65	88.58	A	0.56	407.04	A	0.41	501.8	A	0.29	590.22	A	0.27
1262_s_at	31.68	A	0.54	66.22	A	0.07	215.33	M	0.05	289.16	P	0.01	26.46	A	0.87	24.43	A	0.77	54.33	A	0.48	19.67	A	0.85
1263_at	139.38	A	0.23	64.83	A	0.36	147.25	A	0.32	93.55	A	0.28	284.54	A	0.32	236.79	A	0.27	111.04	A	0.48	387.82	A	0.32
1264_at	55.49	A	0.34	55.08	P	0.02	126.16	P	0.01	123.11	P	0	39.69	A	0.44	10.06	A	0.22	24.91	A	0.46	39.06	A	0.1
1265_g_at	10.64	A	0.98	6.98	A	0.93	142.04	P	0	182.47	P	0	7.98	A	0.98	18.75	A	0.6	13.71	A	0.93	24.57	A	0.91
1266_s_at	65.06	A	0.64	28.74	A	0.6	31.36	A	0.64	161.91	A	0.32	35.95	A	0.8	42.22	A	0.56	162.38	A	0.44	55.51	A	0.7
1267_at	72.61	A	0.56	53	A	0.44	112.49	A	0.34	41.89	A	0.58	164.1	A	0.42	247.15	A	0.22	66.52	A	0.72	84.37	A	0.82
1268_at	5847.6	P	0	7922.4	P	0	4085.42	P	0	3945.26	P	0	2218.87	P	0	1874.05	P	0	3793.16	P	0	2885.43	P	0
1269_at	429.36	P	0	236.48	P	0	750.58	P	0	746.34	P	0	193.51	P	0.04	157.58	P	0	118.07	P	0.01	205.94	P	0
127_at	187.41	A	0.52	39.41	A	0.64	74.41	A	0.6	55.79	A	0.66	110.08	A	0.62	87.2	A	0.6	85.58	A	0.7	178.32	A	0.56
1270_at	3052.91	P	0	3450.35	P	0	1697.84	P	0.01	1968.47	P	0.01	935.01	A	0.08	1217.9	P	0.02	642.47	A	0.32	744.49	A	0.27
1271_g_at	672.11	A	0.11	794.16	P	0.04	966.39	P	0.04	790.5	P	0.03	835.34	A	0.09	861.73	P	0.01	1298.47	A	0.07	1264.82	P	0.03
1272_at	224.57	A	0.12	168.11	A	0.08	521.83	P	0.01	581.55	P	0	387.21	A	0.13	466.02	A	0.07	189.98	A	0.38	156.68	A	0.4
1273_r_at	437.89	A	0.07	380.27	A	0.13	524.82	A	0.11	511.13	A	0.12	908.13	A	0.12	777.68	A	0.13	624.84	A	0.23	824.33	A	0.15
1274_s_at	705.11	A	0.07	813.86	P	0.01	503.53	A	0.14	611.68	A	0.06	1285.54	M	0.05	1490.3	P	0.02	1439.9	P	0.04	1348.4	P	0.04
1275_at	76.39	A	0.19	41.48	A	0.07	43.31	A	0.08	66.06	P	0.01	118.65	M	0.04	60.97	A	0.06	57.28	A	0.25	66.73	A	0.18
1276_g_at	269.02	A	0.4	112.37	A	0.48	189.95	A	0.5	125.78	A	0.54	1503.43	P	0.02	1278.53	P	0.01	584.22	A	0.18	576.19	A	0.19
1277_at	488.91	A	0.28	494.58	A	0.28	485.37	A	0.2	140.2	A	0.5	659.05	A	0.22	577.57	A	0.28	825.51	A	0.44	857.2	A	0.28
1278_at	298.29	P	0.01	426.72	P	0	40.85	A	0.4	203.56	A	0.18	236.3	A	0.32	206.3	P	0	334.81	P	0.04	172.98	A	0.14
1279_s_at	60.36	A	0.88	42.24	A	0.8	66.46	A	0.81	32.43	A	0.9	85.98	A	0.96	53.64	A	0.96	77.27	A	0.88	86.57	A	0.81
128_at	41.55	A	0.66	70.02	A	0.28	60.67	A	0.64	88.68	A	0.58	49.46	A	0.64	83.73	A	0.46	48.35	A	0.78	56.8	A	0.66
1280_i_at	932.19	A	0.13	373.22	A	0.16	714.02	A	0.09	248.97	A	0.3	873.57	A	0.16	429.7	A	0.13	546.95	A	0.22	791.33	A	0.11
1281_f_at	36.77	A	0.94	8.31	A	0.91	60.05	A	0.63	15.81	A	0.87	32.25	A	0.88	72.25	A	0.68	32.62	A	0.94	34.85	A	0.9
1282_s_at	94.04	A	0.72	138.3	A	0.2	105.47	A	0.64	80.7	A	0.64	176.6	A	0.6	49.75	A	0.68	248.73	A	0.38	193.8	A	0.48
1283_at	16.37	A	0.96	5.45	A	0.88	28.96	A	0.8	77.81	A	0.66	20.86	A	0.94	17.67	A	0.75	21.02	A	0.75	19.36	A	0.81
1284_at	205.97	A	0.5	105.14	A	0.58	544.53	A	0.07	528.35	A	0.06	59.24	A	0.88	58.09	A	0.77	10.99	A	0.99	62.87	A	0.89
1285_at	30.75	A	0.82	54.15	A	0.38	145.85	A	0.42	96.03	A	0.4	33.57	A	0.96	13.86	A	0.99	27.48	A	0.93	25.85	A	0.97
1286_s_at	22.46	A	0.7	5.89	A	0.86	6.73	A	0.93	19.99	A	0.3	6.65	A	1	2.13	A	0.99	11.14	A	0.91	11.03	A	0.85
1287_at	2175.16	P	0	2080.37	P	0	1625.23	P	0.01	1467.57	P	0	1348.74	A	0.08	1117.46	P	0.01	668.72	A	0.19	533.84	A	0.16
1288_s_at	26821.59	P	0	21693.24	P	0	38604.08	P	0	44157.33	P	0	37376.39	P	0	29575.59	P	0	44281.02	P	0	28469.13	P	0
1289_at	284.6	A	0.42	118.96	A	0.52	267.1	A	0.38	375.17	A	0.32	298.56	A	0.56	183.79	A	0.6	314.47	A	0.44	122.28	A	0.8
129_g_at	44.56	A	0.64	51.3	A	0.52	47.18	A	0.62	30.05	A	0.64	143.92	A	0.42	70.18	A	0.4	57.41	A	0.72	45.96	A	0.64
1290_g_at	232.76	A	0.38	409.3	A	0.06	180.89	A	0.54	73.36	A	0.44	307.62	A	0.58	327.39	A	0.44	115.13	A	0.58	673.49	A	0.3
1291_s_at	154.18	A	0.66	218.66	A	0.14	298.02	A	0.22	190.04	A	0.5	1568.69	P	0.04	1238.13	P	0.02	1888.54	P	0.01	2261.98	P	0.01
